Ulasan,Label
"['bantu', 'orang', 'awam', 'sehat', 'lansung', 'chat', 'dokter']",Operability
"['mantap', 'bantu', 'aplaksi']",Operability
"['aplikasi', 'yg', 'mudah', 'interaksi', 'pasien', 'dokter']",Simplicity
"['good', 'aplikasi']",Operability
"['gampang', 'mudah', 'aplikasi', 'tdak', 'antri', 'konsultasi', 'k', 'dokter', 'yg', 'tuju']",Simplicity
"['aplikasi', 'mudah', 'konsultasi', 'dokter']",Simplicity
"['mantap', 'bingitsss']",Operability
"['mantap', 'nih', 'aplikasi', 'konsultasi', 'sehat', 'mana']",Operability
"['mantap', 'asoiii']",Operability
"['yg', 'efisien', 'kini', 'u', 'layan', 'sehat', 'dg', 'dokter', 'langsung']",Execution Efficiency
"['bantu', 'mudah', 'link', 'dokter']",Simplicity
"['mudah', 'guna', 'yg', 'butuh', 'piss']",Simplicity
"['mana', 'konsultasi', 'doktersangat', 'bantu']",Operability
"['keren', 'konsultasi', 'dada', 'ribet', 'ngantri']",Operability
"['praktis', 'efisien', 'waktusemoga', 'palayanannya', 'muas', 'ya']",Execution Efficiency
['mantap'],Operability
['goodgoodgood'],Operability
"['bagus', 'buru', 'pasang', 'broo', 'mudah', 'konsul', 'dokter']",Simplicity
"['bantu', 'dokter', 'indonesia', 'langsung', 'solusi', 'keluh']",Operability
['bagus'],Operability
"['good', 'aplikasi']",Operability
"['aplikasi', 'yg', 'bantu', 'konsultasi', 'dgn', 'dokter', 'temu', 'lgs', 'hemat']",Operability
['keren'],Operability
"['bantu', 'k', 'dokter', 'girit']",Operability
['bantu'],Operability
"['mudah', 'dibanjarmasin', 'jg', 'bs', 'cepat']",Simplicity
"['aplikasi', 'mudah', 'informasi', 'yg', 'didpt', 'lbh', 'cepat']",Simplicity
['good'],Operability
['mantap'],Operability
"['good', 'i', 'like', 'it']",Operability
"['cepat', 'konsuk', 'dokter']",Execution Efficiency
"['aplikasi', 'yg', 'bantu', 'jaga', 'keluarga', 'utk', 'jaga', 'sehat']",Operability
['bantu'],Operability
"['efisien', 'kualitas']",Execution Efficiency
"['guna', 'tingkat']",Operability
"['moga', 'fasilitas', 'mudah', 'layan', 'sehat', 'masyakat']",Simplicity
"['aplikasi', 'bagus']",Operability
"['kalo', 'bagus', 'kasih']",Operability
['keren'],Operability
"['moga', 'manfaat', 'u', 'masyarakat']",Operability
"['kalo', 'sehat', 'number', 'one', 'mdh', 'guna', 'masyarakat', 'indonesia']",Operability
"['admin', 'bagus', 'banget', 'aplikasi', 'salam', 'sukses', 'ya']",Operability
"['aplikasi', 'bagus']",Operability
"['tolong', 'bantu', 'aplikasisx']",Operability
"['bantu', 'banget', 'istri', 'konsultasi', 'aplikasi', 'halodoc']",Operability
"['tau', 'pakai', 'aplikasi', 'stelah', 'nonton', 'hitam', 'putih', 'makasih', 'bantu', 'atas', 'bom', 'atas', 'perintah']",Operability
"['bagus', 'coba']",Operability
"['aplikasi', 'yg', 'erorr', 'baik']",Error Tolerance
"['keren', 'aplikasi']",Operability
"['bagus', 'aplikasi', 'nyakalo', 'keluarga', 'yg', 'sakit', 'bsa', 'aplikasi', 'inigaperlu', 'hrs', 'pergi', 'klinik', 'or', 'rumah', 'sakit', 'thnks', 'for', 'hallodoctingkatkan', 'aplikasi']",Operability
"['abis', 'liat', 'trans', 'tv', 'acara', 'hitam', 'putih', 'kalo', 'aplikasi', 'bantu', 'maju', 'halodoc']",Operability
['bagus'],Operability
"['yg', 'tolong', 'bantu', 'ya']",Operability
['bantu'],Operability
"['mudah', 'banget']",Simplicity
"['nyoba', 'mudah', 'manfaat', 'sehat']",Simplicity
"['unexpected', 'error']",Error Tolerance
"['bantu', 'saat', 'sakit']",Operability
['bantu'],Operability
"['moga', 'manfaat']",Operability
['keren'],Operability
"['bantu', 'nih']",Operability
"['bantu', 'desak']",Operability
['keren'],Operability
"['wahh', 'hebat', 'aplikasi', 'yg', 'butuh', 'tolong']",Operability
"['signin', 'error', 'mulutlg', 'd', 'bantu', 'min']",Error Tolerance
